Wavelength,mCherry,(AB),mCherry,(EM)
424,0.003,,,
425,0.003,,,
426,0.003,,,
427,0.003,,,
428,0.003,,,
429,0.003,,,
430,0.004,,,
431,0.004,,,
432,0.004,,,
433,0.004,,,
434,0.005,,,
435,0.005,,,
436,0.005,,,
437,0.005,,,
438,0.006,,,
439,0.006,,,
440,0.006,,,
441,0.007,,,
442,0.007,,,
443,0.008,,,
444,0.008,,,
445,0.009,,,
446,0.009,,,
447,0.01,,,
448,0.01,,,
449,0.011,,,
450,0.012,,,
451,0.012,,,
452,0.013,,,
453,0.014,,,
454,0.015,,,
455,0.016,,,
456,0.016,,,
457,0.017,,,
458,0.018,,,
459,0.02,,,
460,0.021,,,
461,0.022,,,
462,0.023,,,
463,0.025,,,
464,0.025,,,
465,0.027,,,
466,0.029,,,
467,0.03,,,
468,0.031,,,
469,0.033,,,
470,0.034,,,
471,0.036,,,
472,0.038,,,
473,0.039,,,
474,0.041,,,
475,0.042,,,
476,0.044,,,
477,0.046,,,
478,0.049,,,
479,0.05,,,
480,0.053,,,
481,0.056,,,
482,0.058,,,
483,0.061,,,
484,0.063,,,
485,0.066,,,
486,0.069,,,
487,0.073,,,
488,0.076,,,
489,0.081,,,
490,0.084,,,
491,0.089,,,
492,0.093,,,
493,0.097,,,
494,0.101,,,
495,0.106,,,
496,0.112,,,
497,0.117,,,
498,0.122,,,
499,0.127,,,
500,0.133,,,
501,0.137,,,
502,0.142,,,
503,0.148,,,
504,0.152,,,
505,0.159,,,
506,0.164,,,
507,0.169,,,
508,0.175,,,
509,0.18,,,
510,0.187,,,
511,0.191,,,
512,0.198,,,
513,0.204,,,
514,0.209,,,
515,0.217,,,
516,0.225,,,
517,0.232,,,
518,0.239,,,
519,0.248,,,
520,0.257,,,
521,0.266,,,
522,0.275,,,
523,0.284,,,
524,0.296,,,
525,0.306,,,
526,0.32,,,
527,0.331,,,
528,0.346,,,
529,0.356,,,
530,0.373,,,
531,0.383,,,
532,0.4,,,
533,0.414,,,
534,0.429,,,
535,0.442,,,
536,0.457,,,
537,0.472,,,
538,0.485,,,
539,0.496,,,
540,0.507,,,
541,0.519,,,
542,0.526,,,
543,0.535,,,
544,0.546,,,
545,0.553,,,
546,0.555,,,
547,0.566,,,
548,0.569,,,
549,0.575,,,
550,0.578,0.001,,
551,0.583,0.001,,
552,0.587,0.002,,
553,0.588,0.002,,
554,0.594,0.002,,
555,0.599,0.003,,
556,0.604,0.003,,
557,0.609,0.004,,
558,0.615,0.004,,
559,0.623,0.005,,
560,0.629,0.006,,
561,0.639,0.009,,
562,0.647,0.016,,
563,0.655,0.025,,
564,0.669,0.029,,
565,0.681,0.026,,
566,0.692,0.02,,
567,0.703,0.019,,
568,0.72,0.022,,
