Wavelength,mBanana (AB),mBanana (EM)
565,0.754,0.074
566,0.727,0.062
567,0.703,0.052
568,0.677,0.044
569,0.655,0.037
570,0.637,0.031
571,0.616,0.027
572,0.596,0.022
573,0.579,0.019
574,0.565,0.016
575,0.55,0.014
576,0.539,0.011
577,0.529,0.009
578,0.518,0.008
579,0.51,0.007
580,0.504,0.006
581,0.498,0.005
582,0.492,0.004
583,0.487,0.004
584,0.483,0.003
585,0.48,0.003
586,0.477,0.002
587,0.474,0.002
588,0.474,0.002
589,0.47,0.002
590,0.467,0.001
591,0.463,0.001
592,0.461,0.001
593,0.455,0.001
594,0.451,0.001
595,0.444,0.001
596,0.437,0.001
597,0.43,0.001
598,0.423,0.001
599,0.414,
600,0.405,
601,0.396,
602,0.387,
603,0.376,
604,0.366,
605,0.356,
606,0.346,
607,0.335,
608,0.322,
609,0.313,
610,0.303,
611,0.294,
612,0.283,
613,0.272,
614,0.263,
615,0.252,
616,0.245,
617,0.236,
618,0.227,
619,0.219,
620,0.212,
621,0.204,
622,0.197,
623,0.191,
624,0.185,
625,0.178,
626,0.173,
627,0.167,
628,0.161,
629,0.158,
630,0.151,
631,0.148,
632,0.144,
633,0.14,
634,0.137,
635,0.133,
636,0.129,
637,0.125,
638,0.122,
639,0.119,
640,0.117,
641,0.114,
642,0.112,
643,0.108,
644,0.107,
645,0.103,
646,0.101,
647,0.098,
648,0.097,
649,0.092,
650,0.091,
651,0.088,
652,0.086,
653,0.084,
654,0.081,
655,0.078,
656,0.075,
657,0.073,
658,0.071,
659,0.069,
660,0.066,
661,0.065,
662,0.062,
663,0.061,
664,0.059,
665,0.056,
666,0.054,
667,0.053,
668,0.051,
669,0.049,
670,0.048,
671,0.045,
672,0.045,
673,0.043,
674,0.041,
675,0.04,
676,0.038,
677,0.038,
678,0.037,
679,0.035,
680,0.034,
681,0.033,
682,0.032,
683,0.031,
684,0.03,
685,0.028,
686,0.028,
687,0.027,
688,0.026,
689,0.026,
690,0.024,
691,0.024,
692,0.023,
693,0.022,
694,0.022,
695,0.021,
696,0.021,
697,0.02,
698,0.019,
699,0.019,
700,0.018,
